No.,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,"INGRESOS OPERACIONALES
2018*",GANANCIA (PERDIDA) 2018,TOTAL ACTIVOS 2018,TOTAL PASIVOS 2018,TOTAL PATRIMONIO 2018,"INGRESOS OPERACIONALES
2017*",GANANCIA (PERDIDA) 2017,TOTAL ACTIVOS 2017,TOTAL PASIVOS 2017,TOTAL PATRIMONIO 2017,GRUPO EN NIIF,∆ INGRESOS OPERACIONALES 2017-2018,∆ GANANCIA (PERDIDA) 2017-2018,∆ ACTIVOS 2017-2018,∆ TOTAL PASIVOS 2017-2018,∆ TOTAL PATRIMONIO 2017-2018
1,860003563,ABB LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"C2711 - Fabricación de motores, generadores y transformadores eléctricos",MANUFACTURA,3571775290.0,-58725480.0,2956848280.0,2476739360.0,480108920.0,4005048860.0,-87529000.0,2875459550.0,2341172480.0,534287070.0,NIIF PLENAS-GRUPO 1,-433273570.0,28803520.0,81388730.0,135566880.0,-54178150.0
2,900138670,C.I BIOCOSTA S.A,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA-MARTA-MAGDALENA,G4610 - Comercio al por mayor a cambio de una retribución o por contrata,COMERCIO,6018901940.0,35049440.0,1207011140.0,1031423810.0,175587330.0,4994552450.0,10837770.0,1020831970.0,894986480.0,125845490.0,NIIF PLENAS-GRUPO 1,1024349490.0,24211670.0,186179170.0,136437330.0,49741840.0
3,890302629,CONSTRUCTORA MELENDEZ S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,F4111 - Construcción de edificios residenciales,CONSTRUCCIÓN,1739284020.0,17351050.0,3030766680.0,2163543620.0,867223060.0,1039942430.0,-38772470.0,2615650250.0,1748991200.0,866659050.0,NIIF PLENAS-GRUPO 1,699341590.0,56123520.0,415116430.0,414552420.0,564010.0
5,890503314,CERAMICA ITALIA SA,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,C2392 - Fabricación de materiales de arcilla para la construcción,MANUFACTURA,1419514010.0,4582130.0,1498588040.0,497131270.0,1001456770.0,1360935380.0,32504600.0,1509245600.0,490200920.0,1019044680.0,NIIF PYMES-GRUPO 2,58578630.0,-27922470.0,-10657560.0,6930350.0,-17587910.0
6,830024974,NATURA COSMETICOS LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,3095478260.0,209150040.0,1305191090.0,649628000.0,655563090.0,2756663020.0,71962150.0,1022643350.0,576230300.0,446413050.0,NIIF PLENAS-GRUPO 1,338815240.0,137187890.0,282547740.0,73397700.0,209150040.0
7,860001963,PROTELA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1312 - Tejeduría de productos textiles,MANUFACTURA,1668109670.0,-5394050.0,3647096110.0,1506110870.0,2140985240.0,1515931110.0,-83851100.0,3633766970.0,1488227100.0,2145539870.0,NIIF PLENAS-GRUPO 1,152178560.0,78457050.0,13329140.0,17883770.0,-4554630.0
8,860002590,BRENNTAG COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",COMERCIO,4921344140.0,45845560.0,3743612630.0,2776571160.0,967041470.0,4519507100.0,33577840.0,2709724080.0,1788522030.0,921202050.0,NIIF PLENAS-GRUPO 1,401837040.0,12267720.0,1033888550.0,988049130.0,45839420.0
9,890700058,UNION DE ARROCEROS S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,C1051 - Elaboración de productos de molinería,MANUFACTURA,2177462620.0,30256560.0,1712223220.0,1180435530.0,531787690.0,2471574950.0,13067880.0,1638273320.0,1148579840.0,489693480.0,NIIF PYMES-GRUPO 2,-294112330.0,17188680.0,73949900.0,31855690.0,42094210.0
10,830021253,CROWN COLOMBIANA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,MANUFACTURA,3282077540.0,300508500.0,2856940410.0,1537493940.0,1319446470.0,2732146040.0,225281310.0,2238047720.0,1220078000.0,1017969720.0,NIIF PLENAS-GRUPO 1,549931500.0,75227190.0,618892690.0,317415940.0,301476750.0
12,900744408,EXITO INDUSTRIAS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,"C1410 - Confección de prendas de vestir, excepto prendas de piel",MANUFACTURA,2522432800.0,148205930.0,2489713330.0,929194360.0,1560518970.0,3482870590.0,173138510.0,2936366610.0,1490127830.0,1446238780.0,NIIF PLENAS-GRUPO 1,-960437790.0,-24932580.0,-446653280.0,-560933470.0,114280190.0
14,890110188,"""""""INDEPENDENCE DRILLING S.A.
""""
""",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO-HIDROCARBUROS,4100618110.0,191872740.0,7065294920.0,4776841100.0,2288453820.0,3224368520.0,147307230.0,6069633250.0,4316045060.0,1753588190.0,NIIF PLENAS-GRUPO 1,876249590.0,44565510.0,995661670.0,460796040.0,534865630.0
16,890900535,KELLOGG DE COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1089 - Elaboración de otros productos alimenticios n.c.p.,MANUFACTURA,1753496180.0,52055110.0,1300112160.0,542427670.0,757684490.0,1869579990.0,43015840.0,1375105280.0,669475900.0,705629380.0,NIIF PLENAS-GRUPO 1,-116083810.0,9039270.0,-74993120.0,-127048230.0,52055110.0
17,891903333,CARCAFE LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1061 - Trilla de café,MANUFACTURA,6596831540.0,-17863700.0,2369988050.0,1864301820.0,505686230.0,7584596270.0,15132520.0,2401050540.0,1918434540.0,482616000.0,NIIF PLENAS-GRUPO 1,-987764730.0,-32996220.0,-31062490.0,-54132720.0,23070230.0
18,800141770,CI ACEPALMA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,COMERCIO,7855926750.0,80017980.0,3041172040.0,2561574850.0,479597190.0,8825980040.0,86518220.0,2829787110.0,2333322790.0,496464320.0,NIIF PLENAS-GRUPO 1,-970053290.0,-6500240.0,211384930.0,228252060.0,-16867130.0
19,830001637,SONDA DE COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,SERVICIOS,1486692050.0,-927980.0,2129955650.0,836724150.0,1293231500.0,1582038020.0,-14405510.0,2009421350.0,951251550.0,1058169800.0,NIIF PLENAS-GRUPO 1,-95345970.0,13477530.0,120534300.0,-114527400.0,235061700.0
20,860051812,Halliburton Latin America S.R.L. Sucursal Colombia,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO-HIDROCARBUROS,7903362940.0,-35424700.0,7105971210.0,1571833340.0,5534137870.0,5692605420.0,-441496390.0,5022937780.0,1023405150.0,3999532630.0,NIIF PLENAS-GRUPO 1,2210757520.0,406071690.0,2083033430.0,548428190.0,1534605240.0
21,900777972,CI TRAFIGURA COAL COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,4259935230.0,-2358270.0,1335009710.0,1332383760.0,2625950.0,3231282290.0,532860.0,686288240.0,681304020.0,4984220.0,NIIF PYMES-GRUPO 2,1028652940.0,-2891130.0,648721470.0,651079740.0,-2358270.0
23,800015583,COLSOF S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",COMERCIO,1690356470.0,36833020.0,762903590.0,464925530.0,297978060.0,1348985250.0,22976240.0,841107540.0,599440830.0,241666710.0,NIIF PYMES-GRUPO 2,341371220.0,13856780.0,-78203950.0,-134515300.0,56311350.0
24,860000006,TEAM FOODS COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1030 - Elaboración de aceites y grasas de origen vegetal y animal,MANUFACTURA,7050697290.0,329281410.0,6378871090.0,4173670230.0,2205200860.0,7755923040.0,315641150.0,6311523480.0,4236940160.0,2074583320.0,NIIF PLENAS-GRUPO 1,-705225750.0,13640260.0,67347610.0,-63269930.0,130617540.0
25,900207065,IBEROMODA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,COMERCIO,1464431400.0,32116790.0,588405590.0,515287320.0,73118270.0,1442920620.0,61861590.0,724410630.0,618887030.0,105523600.0,NIIF PLENAS-GRUPO 1,21510780.0,-29744800.0,-136005040.0,-103599710.0,-32405330.0
26,860020309,BECTON DICKINSON DE COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",COMERCIO,1529607470.0,51967990.0,1207395200.0,578709130.0,628686070.0,1411622580.0,39422620.0,1062281750.0,468826610.0,593455140.0,NIIF PLENAS-GRUPO 1,117984890.0,12545370.0,145113450.0,109882520.0,35230930.0
27,890101176,MEICO SA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,2910661520.0,35664890.0,1540443630.0,1252930100.0,287513530.0,2728601570.0,18941640.0,1394480880.0,1136653610.0,257827270.0,NIIF PLENAS-GRUPO 1,182059950.0,16723250.0,145962750.0,116276490.0,29686260.0
28,860350234,BRINKS DE COLOMBIA SA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,N8010 - Actividades de seguridad privada,SERVICIOS,28340399675.0,1446479985.0,16813870328.0,7946074401.0,8867795927.0,2558462830.0,180275160.0,1458449960.0,542103700.0,916346260.0,NIIF PLENAS-GRUPO 1,25781936845.0,1266204825.0,15355420368.0,7403970701.0,7951449667.0
29,860032550,ALFAGRES S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C2392 - Fabricación de materiales de arcilla para la construcción,MANUFACTURA,3680327900.0,-387687110.0,4680418240.0,2223295350.0,2457122890.0,4255400370.0,-278593650.0,4988758090.0,2143948090.0,2844810000.0,NIIF PLENAS-GRUPO 1,-575072470.0,-109093460.0,-308339850.0,79347260.0,-387687110.0
